feature,grid_value,pdp_mean
model,Neon,12087.741450777203
model,Outback,12283.562694300517
model,Silverado 1500,14408.588428324696
model,silverado 1500,9949.210189982727
model,Forester,12304.749050086355
model,accord,12087.741450777203
model,Camry,9826.400863557858
model,Elantra,12087.741450777203
model,Rogue,12087.741450777203
model,Fusion,12072.352849740933
model,Impreza,12058.669084628671
model,tlx,12087.741450777203
model,Sonata,12090.740932642488
model,Range Rover Sport,12087.741450777203
model,F-150,13145.881692573405
model,Grand Caravan,12087.741450777203
model,Civic,12087.741450777203
model,GLK-Class,12087.741450777203
model,Grand Cherokee,12240.557512953368
model,CHEVELLE,12087.741450777203
