feature,grid_value,pdp_mean
year_num,1988.75,12030.363203957382
year_num,2002.0,8991.581430745813
year_num,2005.0,10183.135844748858
year_num,2007.0,9476.655821917808
year_num,2009.0,9834.923135464232
year_num,2011.0,10065.360159817352
year_num,2012.0,9935.951674277017
year_num,2013.0,9653.75
year_num,2014.0,10994.543949771689
year_num,2015.0,12551.74124809741
year_num,2016.0,12660.737633181128
year_num,2017.0,12351.768264840182
year_num,2018.0,16788.56107305936
year_num,2019.0,18514.936643835616
year_num,2020.0,16432.600266362253
year_num,2022.0,23236.995433789954
