feature,grid_value,pdp_mean
make,Ford,12435.333333333332
make,Chevrolet,13257.16105610561
make,Subaru,12814.965511551156
make,Toyota,12715.399834983496
make,Dodge,14818.662871287128
make,Honda,12592.54504950495
make,Nissan,11856.474669966996
make,BMW,13058.201485148515
make,Mercedes-Benz,12937.55099009901
make,Audi,12538.624917491748
make,Hyundai,11994.152145214523
make,ford,12545.654620462048
make,Jeep,12546.892244224424
make,chevy,12430.241254125414
make,subaru,12542.984323432345
make,toyota,12703.909240924093
make,Lexus,15628.30891089109
make,Volkswagen,12534.2199669967
make,honda,12545.654620462048
make,GMC,12545.654620462048
